"","X","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Length_large"
"1",1,5.1,3.5,1.4,0.2,"setosa",1
"2",2,4.9,3,1.4,0.2,"setosa",0
"3",3,4.7,3.2,1.3,0.2,"setosa",0
"4",4,4.6,3.1,1.5,0.2,"setosa",0
"5",5,5,3.6,1.4,0.2,"setosa",0
"6",6,5.4,3.9,1.7,0.4,"setosa",1
"7",7,4.6,3.4,1.4,0.3,"setosa",0
"8",8,5,3.4,1.5,0.2,"setosa",0
"9",9,4.4,2.9,1.4,0.2,"setosa",0
"10",10,4.9,3.1,1.5,0.1,"setosa",0
"11",11,5.4,3.7,1.5,0.2,"setosa",1
"12",12,4.8,3.4,1.6,0.2,"setosa",0
"13",13,4.8,3,1.4,0.1,"setosa",0
"14",14,4.3,3,1.1,0.1,"setosa",0
"15",15,5.8,4,1.2,0.2,"setosa",1
"16",16,5.7,4.4,1.5,0.4,"setosa",1
"17",17,5.4,3.9,1.3,0.4,"setosa",1
"18",18,5.1,3.5,1.4,0.3,"setosa",1
"19",19,5.7,3.8,1.7,0.3,"setosa",1
"20",20,5.1,3.8,1.5,0.3,"setosa",1
"21",21,5.4,3.4,1.7,0.2,"setosa",1
"22",22,5.1,3.7,1.5,0.4,"setosa",1
"23",23,4.6,3.6,1,0.2,"setosa",0
"24",24,5.1,3.3,1.7,0.5,"setosa",1
"25",25,4.8,3.4,1.9,0.2,"setosa",0
"26",26,5,3,1.6,0.2,"setosa",0
"27",27,5,3.4,1.6,0.4,"setosa",0
"28",28,5.2,3.5,1.5,0.2,"setosa",1
"29",29,5.2,3.4,1.4,0.2,"setosa",1
"30",30,4.7,3.2,1.6,0.2,"setosa",0
"31",31,4.8,3.1,1.6,0.2,"setosa",0
"32",32,5.4,3.4,1.5,0.4,"setosa",1
"33",33,5.2,4.1,1.5,0.1,"setosa",1
"34",34,5.5,4.2,1.4,0.2,"setosa",1
"35",35,4.9,3.1,1.5,0.2,"setosa",0
"36",36,5,3.2,1.2,0.2,"setosa",0
"37",37,5.5,3.5,1.3,0.2,"setosa",1
"38",38,4.9,3.6,1.4,0.1,"setosa",0
"39",39,4.4,3,1.3,0.2,"setosa",0
"40",40,5.1,3.4,1.5,0.2,"setosa",1
"41",41,5,3.5,1.3,0.3,"setosa",0
"42",42,4.5,2.3,1.3,0.3,"setosa",0
"43",43,4.4,3.2,1.3,0.2,"setosa",0
"44",44,5,3.5,1.6,0.6,"setosa",0
"45",45,5.1,3.8,1.9,0.4,"setosa",1
"46",46,4.8,3,1.4,0.3,"setosa",0
